code_parametre;libelle_norm;quoi;usage;molecule_mere;statut_autorisation;sources;fiabilite
9212;Terbuthylazine métabolite LM6;Métabolite de la terbuthylazine retrouvé dans les eaux souterraines, identifié comme la 4-(tert-butylamino)-6-hydroxy-1-methyl-1,3,5-triazin-2(1H)-one.;Herbicide de la famille des chlorotriazines, la terbuthylazine s'emploie en pré-levée comme en post-levée sur des cultures agricoles variées et en forêt (fiche OMS, 1998).;Terbuthylazine;;MET-14|REG-04;verifie
1879;Metconazol;Substance active phytopharmaceutique (CAS 125116-23-6).;Fongicide contre diverses infections fongiques : céréales, colza, fruits à noyau, pistachier, gazons de sport et de placage.;;;IDEN-01;a_verifier
1796;Métaldéhyde;Substance active phytopharmaceutique (CAS 108-62-3), tétramère de l'acétaldéhyde.;Molluscicide de contact et systémique employé en appât contre limaces et escargots : ornementales, arbres et arbustes fruitiers, légumes.;;;IDEN-01;a_verifier
1670;Métazachlore;Substance active phytopharmaceutique (CAS 67129-08-2).;Herbicide résiduaire contre un large spectre d'adventices : colza d'hiver et de printemps, choux de Bruxelles, maïs, arachide, canne à sucre, coton, tabac.;;;IDEN-01;a_verifier
1225;Métribuzine;Substance active phytopharmaceutique (CAS 21087-64-9).;Herbicide de pré-levée et de post-levée sur céréales et diverses cultures : soja, pomme de terre, orge, blé, asperge, canne à sucre, tomate, pois, lentille.;;;IDEN-01;a_verifier
1667;Oxadiazon;Substance active phytopharmaceutique (CAS 19666-30-9), de la famille des oxadiazolones.;Herbicide de pré-levée ou de post-levée précoce contre le liseron et des dicotylédones annuelles : gazons, terrains de sport, zones non cultivées, ornement, vigne.;;;IDEN-01;a_verifier
1666;Oxadixyl;Substance active phytopharmaceutique (CAS 77732-09-3), fongicide anilide et oxazole.;Fongicide employé en association contre les Peronosporales, dont les mildious, sur cultures variées.;;;IDEN-01;a_verifier
1708;Piclorame;Substance active phytopharmaceutique (CAS 1918-02-1), décrite comme persistante.;Herbicide contre les dicotylédones, surtout sur zones non cultivées et emprises, ainsi que colza et parcours.;;;IDEN-01;a_verifier
1709;Piperonil butoxide;Synergiste non classé (CAS 51-03-6), introduit vers 1950.;Employé surtout avec les insecticides pyréthrinoïdes pour renforcer l'action de la substance active, en bloquant les monooxygénases à P450 du ravageur.;;;IDEN-01;a_verifier
1257;Propiconazole;Substance active phytopharmaceutique (CAS 60207-90-1).;Fongicide systémique à large spectre : champignons de couche, maïs, riz sauvage, arachide, amandier, sorgho, avoine, pacanier, fruits à noyau.;;;IDEN-01;a_verifier
1092;Prosulfocarbe;Substance active phytopharmaceutique (CAS 52888-80-9).;Herbicide de post-levée contre graminées et dicotylédones : blé d'hiver, orge d'hiver, pomme de terre.;;;IDEN-01;a_verifier
1694;Tébuconazole;Substance active phytopharmaceutique (CAS 107534-96-3).;Fongicide contre diverses maladies foliaires des céréales et d'autres cultures de plein champ : blé, orge, avoine, seigle, vigne, arachide, légumes, banane, canne à sucre.;;;IDEN-01;a_verifier
2036;Trihalométhanes (4 substances);Somme réglementaire qui additionne les concentrations de quatre composés nommés par la directive (UE) 2020/2184 : chloroforme, bromoforme, dibromochlorométhane et bromodichlorométhane.;;;;REG-01;verifie
8847;Somme de 20 substances perfluoroalkylées (PFAS);Somme réglementaire additionnant vingt substances per- et polyfluoroalkylées listées à l'annexe III point 3 de la directive (UE) 2020/2184, dix acides carboxyliques et dix acides sulfoniques perfluoroalkylés. Sous-ensemble du paramètre PFAS Total.;;;;REG-01;verifie
1447;Bactéries coliformes /100ml-MS;Indicateur bactériologique qui dénombre les coliformes totaux, bacilles Gram négatif fermentant le lactose. Le groupe mêle des espèces fécales et des espèces d'environnement capables de se multiplier dans l'eau.;Employé pour apprécier la propreté et l'intégrité du réseau de distribution et la présence de biofilms, non comme indice de pollution fécale, selon l'OMS.;;;REG-01|REG-04;verifie
6455;Entérocoques /100ml-MS;Sous-groupe des streptocoques fécaux, bactéries Gram positif réunissant Enterococcus faecalis, E. faecium, E. durans et E. hirae, dont le dénombrement sert d'indice de pollution fécale.;Indicateur de contamination fécale employé en complément d'Escherichia coli, car il survit plus longtemps en milieu aqueux et résiste davantage à la chloration.;;;REG-01|REG-04;verifie
1449;Escherichia coli /100ml - MF;Coliforme thermotolérant présent en très grand nombre dans les matières fécales humaines et animales, rarement trouvé hors pollution fécale. Son dénombrement est l'indice d'une contamination fécale récente.;Tenu par l'OMS pour l'indicateur le plus adapté d'une contamination fécale et premier organisme recherché dans les programmes de vérification de la qualité de l'eau.;;;REG-01|REG-04;verifie
1751;Bromates;Ion bromate, qui n'est pas normalement présent dans l'eau. Sa source principale dans l'eau de boisson est sa formation lors de l'ozonation lorsque l'ion bromure est présent (fiche OMS, 2003).;Les bromates de sodium et de potassium sont employés surtout dans les solutions neutralisantes de permanente et la teinture des textiles par colorants au soufre.;;;REG-04;verifie
1752;Chlorate;Sous-produit de désinfection formé par l'emploi du dioxyde de chlore, et aussi lors de la décomposition des solutions d'hypochlorite stockées longtemps, en particulier par temps chaud (fiche OMS).;Le chlorate de sodium sert à produire le dioxyde de chlore, employé comme désinfectant et pour la maîtrise des goûts et odeurs de l'eau.;;;REG-01|REG-04;verifie
1115;Benzo(a)pyrène *;Hydrocarbure aromatique polycyclique, classe de composés portant au moins deux cycles aromatiques accolés, qui gagnent l'environnement par voie atmosphérique depuis des procédés de combustion et de pyrolyse.;Dans l'eau de boisson, l'OMS donne pour source principale des HAP le revêtement au goudron de houille des canalisations de distribution, posé pour les protéger de la corrosion (fiche OMS, 1998).;;;REG-04;verifie
1114;Benzène;Hydrocarbure aromatique présent dans l'essence, dont les émissions des véhicules sont la source principale dans l'environnement. Il peut gagner l'eau par les effluents industriels et la pollution atmosphérique.;Employé principalement pour la production d'autres produits chimiques organiques (fiche OMS).;;;REG-04;verifie
2060;Activité Radon 222;Gaz radioactif d'origine naturelle. Les eaux souterraines de puits et de forage en portent généralement plus que les eaux de surface, et le contrôle français ne le recherche que dans les eaux d'origine souterraine.;;;;REG-04|RAD-02;verifie
2059;Dose indicative;Grandeur calculée et non une substance. C'est la dose efficace engagée pour une année d'ingestion résultant de tous les radionucléides, à l'exclusion du tritium, du potassium 40, du radon et de ses descendants.;;;;RAD-01|RAD-02;verifie
1841;Carbone organique total;Grandeur globale et non une substance : la teneur de l'eau en carbone d'origine organique. Référence de qualité en droit français, paramètre indicateur en droit européen — son analyse dispense de mesurer l'indice permanganate.;;;;REG-01|REG-02|REG-03;verifie
1108;Atrazine déséthyl;Métabolite chloro-s-triazine de l'atrazine, retrouvé en eaux de surface et en eaux souterraines à la suite de l'emploi de la molécule mère. Figure à la liste des métabolites de pesticides des paramètres SISE-Eaux.;L'atrazine est un herbicide systémique sélectif de la classe des chlorotriazines, appliqué en pré-levée ou en post-levée précoce contre les adventices annuelles à feuilles larges et les graminées.;Atrazine;Échelon français : deux décisions du ministre de l'agriculture des 22 et 24 octobre 2001 ont abrogé les autorisations de mise sur le marché des produits contenant de l'atrazine, avec écoulement jusqu'aux 30 septembre 2002 et 2003.;MET-07|REG-04|REG-12;verifie
2013;Anthraquinone (HAP);Molécule unique, nom IUPAC anthracène-9,10-dione, formule C14H8O2 (CAS 84-65-1). Le corpus la porte sous deux étiquettes pour un même code SANDRE, « (HAP) » et « (pesticide) » — ce dernier suffixe vient du libellé SISE-Eaux.;Répulsif d'oiseaux formulé en traitement de semences, contre les corvidés — corbeaux freux et corneilles.;;;IDEN-01|REG-13;a_verifier
2013;Anthraquinone (pesticide);Molécule unique, nom IUPAC anthracène-9,10-dione, formule C14H8O2 (CAS 84-65-1). Le corpus la porte sous deux étiquettes pour un même code SANDRE, « (HAP) » et « (pesticide) » — ce dernier suffixe vient du libellé SISE-Eaux.;Répulsif d'oiseaux formulé en traitement de semences, contre les corvidés — corbeaux freux et corneilles.;;;IDEN-01|REG-13;a_verifier
1201;HCH béta;Isomère bêta de l'hexachlorocyclohexane (CAS 319-85-7), formule C6H6Cl6. Isomère résiduel de la fabrication du lindane, dont il se distingue comme il se distingue du HCH technique.;Aucun usage propre établi : l'isomère bêta n'est pas produit pour lui-même, il apparaît comme résidu de la fabrication du lindane.;;;IDEN-03|IDEN-04;verifie
